Rank,Model,Accuracy,Precision,Recall,F1_Weighted,ROC_AUC
1,Logistic Regression,0.3394,0.3449,0.3394,0.3408,0.504
2,Random Forest,0.3396,0.3411,0.3396,0.3402,0.4984
3,Decision Tree,0.3378,0.3413,0.3378,0.339,0.5018
4,XGBoost (SMOTE),0.3679,0.3453,0.3679,0.3362,0.5018
5,Decision Tree (SMOTE),0.3495,0.3362,0.3495,0.3355,0.497
6,SVM (SMOTE),0.3336,0.3408,0.3336,0.3351,N/A
7,Logistic Regression (SMOTE),0.3327,0.3398,0.3327,0.3342,0.5027
8,Random Forest (SMOTE),0.3735,0.3479,0.3735,0.3331,0.5073
9,Neural Network (MLP) (SMOTE),0.3311,0.3411,0.3311,0.3313,0.5013
10,XGBoost,0.3656,0.3355,0.3656,0.3202,0.4994
11,SVM,0.3919,0.3571,0.3919,0.2878,N/A
12,Neural Network (MLP),0.3939,0.3552,0.3939,0.2472,0.5007
13,Dummy (Baseline),0.397,0.1576,0.397,0.2256,0.5
14,Dummy (Baseline) (SMOTE),0.397,0.1576,0.397,0.2256,0.5
